Date,Day_of_Week,Academic_Period,Is_Weekend,Meal,Portions_Prepared,Portions_Sold,Waste_Portions,Waste_Pct,Price_UGX,Revenue_UGX,Ingredient_Cost_UGX,Waste_Cost_UGX,Gross_Profit_UGX,Posho_Flour_kg,Beans_kg,Cooking_Oil_L,Matooke_kg,Groundnuts_kg,Rice_kg,Chicken_kg,Offal_kg,Onions_kg,Irish_Potatoes_kg,Eggs_units,Wheat_Flour_kg,Cabbage_kg,Tomatoes_kg
2024-02-08,Thursday,Sem1_Teaching,False,Rice & Chicken,79,68,11,13.9,"6,000","408,000","269,025","45,144","93,831",0.0,0.0,3.1,0.0,0.0,15.3,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-08,Thursday,Sem1_Teaching,False,Katogo (Offal+Matoke),62,51,11,17.7,"3,500","178,500","86,725","19,404","72,371",0.0,0.0,0.0,22.1,0.0,0.0,0.0,9.1,3.1,0.0,0.0,0.0,0.0,0.0
2024-02-08,Thursday,Sem1_Teaching,False,Chips & Eggs,89,75,14,15.7,"4,500","337,500","169,182","32,760","135,558",0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,25.6,136.2,0.0,0.0,0.0
2024-02-08,Thursday,Sem1_Teaching,False,Rolex,149,132,17,11.4,"2,500","330,000","136,792","18,275","174,933",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.9,15.2,7.4,6.0
2024-02-09,Friday,Sem1_Teaching,False,Posho & Beans,183,161,22,12.0,"3,000","483,000","217,441","30,822","234,737",44.8,27.9,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-09,Friday,Sem1_Teaching,False,Matooke & Groundnut Stew,203,170,33,16.3,"4,000","680,000","365,780","73,656","240,564",0.0,0.0,6.3,81.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-09,Friday,Sem1_Teaching,False,Rice & Chicken,118,115,3,2.5,"6,000","690,000","454,969","12,312","222,719",0.0,0.0,4.9,0.0,0.0,24.2,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-09,Friday,Sem1_Teaching,False,Katogo (Offal+Matoke),100,78,22,22.0,"3,500","273,000","132,639","38,808","101,553",0.0,0.0,0.0,35.4,0.0,0.0,0.0,15.3,5.0,0.0,0.0,0.0,0.0,0.0
2024-02-09,Friday,Sem1_Teaching,False,Chips & Eggs,82,72,10,12.2,"4,500","324,000","162,415","23,400","138,185",0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,24.8,119.5,0.0,0.0,0.0
2024-02-09,Friday,Sem1_Teaching,False,Rolex,35,33,2,5.7,"2,500","82,500","34,198","2,150","46,152",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,3.6,1.8,1.3
2024-02-10,Saturday,Sem1_Teaching,True,Posho & Beans,5,4,1,20.0,"3,000","12,000","5,402","1,401","5,197",1.2,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-10,Saturday,Sem1_Teaching,True,Matooke & Groundnut Stew,72,63,9,12.5,"4,000","252,000","135,554","20,088","96,358",0.0,0.0,2.1,30.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-10,Saturday,Sem1_Teaching,True,Rice & Chicken,48,39,9,18.8,"6,000","234,000","154,294","36,936","42,770",0.0,0.0,2.0,0.0,0.0,10.1,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-10,Saturday,Sem1_Teaching,True,Katogo (Offal+Matoke),19,16,3,15.8,"3,500","56,000","27,208","5,292","23,500",0.0,0.0,0.0,6.7,0.0,0.0,0.0,2.8,0.9,0.0,0.0,0.0,0.0,0.0
2024-02-10,Saturday,Sem1_Teaching,True,Chips & Eggs,72,63,9,12.5,"4,500","283,500","142,113","21,060","120,327",0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,21.5,105.8,0.0,0.0,0.0
2024-02-10,Saturday,Sem1_Teaching,True,Rolex,107,98,9,8.4,"2,500","245,000","101,557","9,675","133,768",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.4,10.5,5.2,4.4
2024-02-11,Sunday,Sem1_Teaching,True,Posho & Beans,82,68,14,17.1,"3,000","204,000","91,838","19,614","92,548",20.2,12.1,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-11,Sunday,Sem1_Teaching,True,Matooke & Groundnut Stew,5,4,1,20.0,"4,000","16,000","8,607","2,232","5,161",0.0,0.0,0.1,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-11,Sunday,Sem1_Teaching,True,Rice & Chicken,44,38,6,13.6,"6,000","228,000","150,338","24,624","53,038",0.0,0.0,1.8,0.0,0.0,9.1,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-11,Sunday,Sem1_Teaching,True,Katogo (Offal+Matoke),94,83,11,11.7,"3,500","290,500","141,141","19,404","129,955",0.0,0.0,0.0,32.5,0.0,0.0,0.0,14.8,4.6,0.0,0.0,0.0,0.0,0.0
2024-02-11,Sunday,Sem1_Teaching,True,Chips & Eggs,97,78,19,19.6,"4,500","351,000","175,949","44,460","130,591",0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,29.4,145.9,0.0,0.0,0.0
2024-02-11,Sunday,Sem1_Teaching,True,Rolex,114,99,15,13.2,"2,500","247,500","102,594","16,125","128,781",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.4,11.8,5.9,4.4
2024-02-12,Monday,Sem1_Teaching,False,Posho & Beans,187,171,16,8.6,"3,000","513,000","230,946","22,416","259,638",45.2,29.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-12,Monday,Sem1_Teaching,False,Matooke & Groundnut Stew,165,149,16,9.7,"4,000","596,000","320,596","35,712","239,692",0.0,0.0,4.8,67.4,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-12,Monday,Sem1_Teaching,False,Rice & Chicken,113,112,1,0.9,"6,000","672,000","443,101","4,104","224,795",0.0,0.0,4.4,0.0,0.0,22.6,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-12,Monday,Sem1_Teaching,False,Katogo (Offal+Matoke),70,58,12,17.1,"3,500","203,000","98,629","21,168","83,203",0.0,0.0,0.0,23.9,0.0,0.0,0.0,10.9,3.6,0.0,0.0,0.0,0.0,0.0
2024-02-12,Monday,Sem1_Teaching,False,Chips & Eggs,70,59,11,15.7,"4,500","265,500","133,090","25,740","106,670",0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,21.0,101.2,0.0,0.0,0.0
2024-02-12,Monday,Sem1_Teaching,False,Rolex,176,143,33,18.8,"2,500","357,500","148,191","35,475","173,834",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.6,18.1,8.6,6.8
2024-02-13,Tuesday,Sem1_Teaching,False,Posho & Beans,239,205,34,14.2,"3,000","615,000","276,866","47,634","290,500",60.9,35.5,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-13,Tuesday,Sem1_Teaching,False,Matooke & Groundnut Stew,141,122,19,13.5,"4,000","488,000","262,501","42,408","183,091",0.0,0.0,4.2,56.1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-13,Tuesday,Sem1_Teaching,False,Rice & Chicken,111,88,23,20.7,"6,000","528,000","348,151","94,392","85,457",0.0,0.0,4.5,0.0,0.0,22.5,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-13,Tuesday,Sem1_Teaching,False,Katogo (Offal+Matoke),153,144,9,5.9,"3,500","504,000","244,871","15,876","243,253",0.0,0.0,0.0,53.5,0.0,0.0,0.0,23.7,7.5,0.0,0.0,0.0,0.0,0.0
2024-02-13,Tuesday,Sem1_Teaching,False,Chips & Eggs,73,57,16,21.9,"4,500","256,500","128,578","37,440","90,482",0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,22.3,106.3,0.0,0.0,0.0
2024-02-13,Tuesday,Sem1_Teaching,False,Rolex,140,133,7,5.0,"2,500","332,500","137,828","7,525","187,147",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.5,14.1,7.0,5.9
2024-02-14,Wednesday,Sem1_Teaching,False,Posho & Beans,281,248,33,11.7,"3,000","744,000","334,940","46,233","362,827",69.3,40.4,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-14,Wednesday,Sem1_Teaching,False,Matooke & Groundnut Stew,132,119,13,9.8,"4,000","476,000","256,046","29,016","190,938",0.0,0.0,4.1,50.4,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-14,Wednesday,Sem1_Teaching,False,Rice & Chicken,130,121,9,6.9,"6,000","726,000","478,707","36,936","210,357",0.0,0.0,5.0,0.0,0.0,25.2,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-14,Wednesday,Sem1_Teaching,False,Katogo (Offal+Matoke),135,109,26,19.3,"3,500","381,500","185,354","45,864","150,282",0.0,0.0,0.0,48.9,0.0,0.0,0.0,20.1,6.5,0.0,0.0,0.0,0.0,0.0
2024-02-14,Wednesday,Sem1_Teaching,False,Chips & Eggs,100,90,10,10.0,"4,500","405,000","203,018","23,400","178,582",0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,30.4,143.8,0.0,0.0,0.0
2024-02-14,Wednesday,Sem1_Teaching,False,Rolex,210,170,40,19.0,"2,500","425,000","176,171","43,000","205,829",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,21.2,10.2,8.6
2024-02-15,Thursday,Sem1_Teaching,False,Posho & Beans,306,238,68,22.2,"3,000","714,000","321,434","95,268","297,298",73.0,44.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-15,Thursday,Sem1_Teaching,False,Matooke & Groundnut Stew,180,156,24,13.3,"4,000","624,000","335,657","53,568","234,775",0.0,0.0,5.5,68.9,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-15,Thursday,Sem1_Teaching,False,Rice & Chicken,149,132,17,11.4,"6,000","792,000","522,226","69,768","200,006",0.0,0.0,5.8,0.0,0.0,30.7,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-15,Thursday,Sem1_Teaching,False,Katogo (Offal+Matoke),99,77,22,22.2,"3,500","269,500","130,938","38,808","99,754",0.0,0.0,0.0,33.9,0.0,0.0,0.0,15.0,5.1,0.0,0.0,0.0,0.0,0.0
2024-02-15,Thursday,Sem1_Teaching,False,Chips & Eggs,118,107,11,9.3,"4,500","481,500","241,366","25,740","214,394",0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,35.8,173.8,0.0,0.0,0.0
2024-02-15,Thursday,Sem1_Teaching,False,Rolex,119,100,19,16.0,"2,500","250,000","103,630","20,425","125,945",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.9,12.1,6.2,4.8
2024-02-16,Friday,Sem1_Teaching,False,Posho & Beans,185,150,35,18.9,"3,000","450,000","202,585","49,035","198,380",46.1,28.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16,Friday,Sem1_Teaching,False,Matooke & Groundnut Stew,144,128,16,11.1,"4,000","512,000","275,411","35,712","200,877",0.0,0.0,4.3,57.2,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16,Friday,Sem1_Teaching,False,Rice & Chicken,144,116,28,19.4,"6,000","696,000","458,926","114,912","122,162",0.0,0.0,5.6,0.0,0.0,27.4,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16,Friday,Sem1_Teaching,False,Katogo (Offal+Matoke),39,37,2,5.1,"3,500","129,500","62,918","3,528","63,054",0.0,0.0,0.0,13.0,0.0,0.0,0.0,5.9,2.0,0.0,0.0,0.0,0.0,0.0
2024-02-16,Friday,Sem1_Teaching,False,Chips & Eggs,105,91,14,13.3,"4,500","409,500","205,274","32,760","171,466",0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,30.3,156.6,0.0,0.0,0.0
2024-02-16,Friday,Sem1_Teaching,False,Rolex,193,159,34,17.6,"2,500","397,500","164,772","36,550","196,178",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.7,19.5,9.4,7.9
2024-02-17,Saturday,Sem1_Teaching,True,Posho & Beans,196,182,14,7.1,"3,000","546,000","245,803","19,614","280,583",49.0,29.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17,Saturday,Sem1_Teaching,True,Matooke & Groundnut Stew,75,65,10,13.3,"4,000","260,000","139,857","22,320","97,823",0.0,0.0,2.2,30.8,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17,Saturday,Sem1_Teaching,True,Rice & Chicken,68,64,4,5.9,"6,000","384,000","253,200","16,416","114,384",0.0,0.0,2.6,0.0,0.0,13.1,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17,Saturday,Sem1_Teaching,True,Katogo (Offal+Matoke),62,53,9,14.5,"3,500","185,500","90,126","15,876","79,498",0.0,0.0,0.0,21.7,0.0,0.0,0.0,8.9,3.0,0.0,0.0,0.0,0.0,0.0
2024-02-17,Saturday,Sem1_Teaching,True,Chips & Eggs,112,94,18,16.1,"4,500","423,000","212,041","42,120","168,839",0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,33.4,171.0,0.0,0.0,0.0
2024-02-17,Saturday,Sem1_Teaching,True,Rolex,73,70,3,4.1,"2,500","175,000","72,541","3,225","99,234",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.1,7.3,3.8,3.0
2024-02-18,Sunday,Sem1_Teaching,True,Posho & Beans,93,85,8,8.6,"3,000","255,000","114,798","11,208","128,994",24.4,13.8,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-18,Sunday,Sem1_Teaching,True,Matooke & Groundnut Stew,61,52,9,14.8,"4,000","208,000","111,886","20,088","76,026",0.0,0.0,1.8,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-18,Sunday,Sem1_Teaching,True,Rice & Chicken,69,59,10,14.5,"6,000","354,000","233,419","41,040","79,541",0.0,0.0,2.6,0.0,0.0,13.1,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-18,Sunday,Sem1_Teaching,True,Katogo (Offal+Matoke),85,71,14,16.5,"3,500","248,500","120,735","24,696","103,069",0.0,0.0,0.0,30.1,0.0,0.0,0.0,12.2,4.2,0.0,0.0,0.0,0.0,0.0
2024-02-18,Sunday,Sem1_Teaching,True,Chips & Eggs,131,112,19,14.5,"4,500","504,000","252,645","44,460","206,895",0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,38.3,205.2,0.0,0.0,0.0
2024-02-18,Sunday,Sem1_Teaching,True,Rolex,89,85,4,4.5,"2,500","212,500","88,086","4,300","120,114",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.7,8.7,4.3,3.6
2024-02-19,Monday,Sem1_Teaching,False,Posho & Beans,114,93,21,18.4,"3,000","279,000","125,602","29,421","123,977",27.9,16.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-19,Monday,Sem1_Teaching,False,Matooke & Groundnut Stew,166,145,21,12.7,"4,000","580,000","311,989","46,872","221,139",0.0,0.0,4.8,65.4,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-19,Monday,Sem1_Teaching,False,Rice & Chicken,105,96,9,8.6,"6,000","576,000","379,801","36,936","159,263",0.0,0.0,4.2,0.0,0.0,20.2,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
